word,frequency
च,1057
इति,575
न,571
वा,317
स,308
तु,303
एव,239
नमः,215
वै,215
ॐ,213
हि,192
ते,177
भवति,174
तथा,164
हां,151
एवं,130
तत्र,130
सा,123
मा,116
अथ,114
प्,106
तस्य,96
ये,96
यथा,95
मे,88
अपि,83
आह,81
य,80
॒,78
कुरु,71
तं,71
अत्र,70
ततः,70
वि,70
॑,70
यो,66
आ,65
अस्य,64
ननु,64
प्र,60
चैव,56
भवेत्,56
तेन,54
अत,52
ए॒व,52
सह,52
स्थाने,52
नाम,51
अस्ति,50
इत्यर्थः,50
त्वं,50
भावः,50
तेषां,49
कृत्वा,48
तत्,48
दीक्षा,46
भा॒नि,46
स्वतेज॑सा,46
च॑,45
तदुक्तं,45
यदि,44
अ,43
आसीत्,43
ततो,42
सः,42
कथं,41
किं,41
नो,41
दे॒वा,40
यत्र,39
या,39
करोति,38
त्वा,37
यः,37
सन्ति,37
तदा,36
ते॒,36
वेद॑,36
शेषः,36
स्यात्,36
दख्षि॑णा,35
त्वा॒,34
र्व्,34
किन्तु,33
मया,33
च्,32
इती,31
च॒,31
यत्,31
विना,31
सर्वं,31
ए॒वं,30
च॒रुं,30
प्रति,30
मध्ये,30
मां,30
तानि,29
दृश्यते,29
स्वाहा॒,29
आ॒यत॑नवान्,28
सर्वे,28
उच्यते,27
कर्म,27
ता,27
परं,27
यतः,27
सति,27
॑सि॒,27
अतः,26
इदं,26
भवन्ति,26
मम,26
यदा,26
ते॑,25
देव,25
नित्यं,25
पुनः,25
इत्याह,24
उवाच,24
नो॒,24
यस्य,24
स्वाहा,24
ऽ,24
गत्वा,23
दृष्ट्वा,23
पदं,23
मे॑,23
रूपं,23
वर्तते,23
इव,22
जनाः,22
जायते,22
तव,22
नो॑,22
म्,22
स्व॒स्ति,22
स॒ह,22
इह,21
खलु,21
चेत्,21
छन्दा,21
तां,21
यावत्,21
येन,21
स्वाहा॑,21
कृते,20
त,20
तमे,20
पूर्वं,20
सं,20
॑सि,20
अभवत्,19
अयं,19
तद्,19
परम्,19
प्रति॑,19
भविष्यति,19
भव॑ति,19
भारतस्य,19
यं,19
य॒ज्ञो,19
शच्च,19
इति॑,18
उक्तं,18
चापि,18
तस्मिन्,18
नः॑,18
पुरा,18
ब्रह्म,18
भो,18
भ्प्,18
सदा,18
इयं,17
किम्,17
क्रमात्,17
खलु॒,17
ततश्च,17
तस्मात्,17
ति,17
द्वे,17
परा,17
प्र॒जा,17
बोधिसत्त्वो,17
शिवं,17
स्थितः,17
स्थितो,17
स्म,17
ऽसि॒,17
अन्यथा,16
एते,16
कथ्यते,16
करणं,16
का,16
चि॑नुते,16
तथैव,16
नः,16
न॒,16
पदम्,16
माया,16
लिङ्गे,16
वः,16
विद्यते,16
सर्वत्र,16
स्थ,16
स्वयं,16
हाम्,16
अनेन,15
इत्थं,15
इत्यत,15
उप॑,15
एष,15
किञ्च,15
जिनपुत्र,15
ज्ञात्वा,15
तत्रैव,15
तस्मै,15
त्वया,15
देवं,15
नमो॑,15
प्रथमं,15
प्राप्य,15
भगवान्,15
यस्य॑,15
राजा,15
लभते,15
संशयः,15
सोम,15
स॒प्त,15
ऽसि,15
अद्य,14
इत्यस्य,14
कम॒ग्निं,14
काले,14
च॒रु,14
ज्ञानं,14
त्,14
नमो,14
नास्ति,14
नि,14
पि,14
प्रश्नः,14
भारत,14
भूतानां,14
मा॑,14
विषये,14
शक्यते,14
अतो,13
अस्मिन्,13
एवेति,13
कर्ता,13
कर्माणि,13
को,13
क्रमेण,13
गतः,13
तत,13
नवदिल्ली,13
न्,13
प्रतिष्ठा,13
ब्,13
भाव,13
मा॒,13
मे॒,13
लोके,13
वदन्ति,13
सर्वदा,13
आपो॒,12
इत्यपि,12
इत्य्,12
उक्तम्,12
एस्,12
कर्तुं,12
कर्मणां,12
कारणं,12
कुर्वन्ति,12
चि॑न्वा॒नः,12
जले,12
तर्हि,12
तस्याः,12
तस्यैव,12
तस्य॑,12
नात्र,12
निर्व॑पति,12
पञ्च,12
परमं,12
पुंसः,12
पृथक्,12
फलं,12
मनसा,12
यदाहुः,12
यदुक्तं,12
याति,12
वर्षे,12
वापि,12
वेद॒,12
शं,12
शिवः,12
श्रुत्वा,12
सम्यक्,12
सर्वा,12
सर्वेषां,12
स्थिता,12
ह,12
अग्ने॒,11
अहं,11
इत्या॑ह,11
इत्युक्तम्,11
इ॒मे,11
इ॒ह,11
एतत्,11
ए॒ता,11
ए॒ष,11
कला,11
कालं,11
कुरुते,11
गुणाः,11
चतुर्वर्णं,11
चेति,11
तदर्थं,11
देवाः,11
देवि,11
दे॒वता॑,11
दे॒वाः,11
नः॒,11
नाम॒,11
पदानि,11
परिगृह्णाति,11
पाठः,11
पुंसो,11
पुरुषस्य,11
प्रोक्तं,11
प॑शू॒नाम्,11
मम॑,11
यतो,11
रुद्राणा,11
रुद्राणीना,11
रुन्द्धे,11
व,11
विश्वे,11
विश्वे॑,11
वो,11
श्रूयते,11
सत्यं,11
सार्धं,11
सुभूते,11
सूर्यो॑,11
स्वः॑,11
अतश्च,10
अन्ये,10
अब्,10
इति॒,10
